TT,Lĩnh vực,Câu hỏi,Loại,Các đáp án lựa chọn (Điểm - Rủi ro),Các khuyến nghị xử lý
55,Tác động thiên nhiên,"Trong mùa khô hanh, cơ sở có biện pháp kiểm soát tĩnh điện tích tụ trên thiết bị và vật liệu không?",single,"A) Có biện pháp kiểm soát tĩnh điện: nối đất thiết bị, dùng sơn/tấm chống tĩnh điện, kiểm soát độ ẩm [Điểm: 0, Rủi ro: safe]
B) Thiết bị chính có nối đất, nhưng chưa kiểm soát tĩnh điện trên vật liệu di chuyển [Điểm: 1, Rủi ro: low]
C) Không có biện pháp chống tĩnh điện, thường xuyên bị giật tĩnh điện khi chạm thiết bị [Điểm: 2, Rủi ro: high]
D) Có hơi khí/bụi dễ cháy mà không kiểm soát tĩnh điện, đã từng phát tia lửa tĩnh điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Không có biện pháp chống tĩnh điện, thường xuyên bị giật tĩnh điện khi chạm thiết bị. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Có hơi khí/bụi dễ cháy mà không kiểm soát tĩnh điện, đã từng phát tia lửa tĩnh điện. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
56,Tác động thiên nhiên,"Cơ sở có nằm trong vùng thấp, hầm ngầm hoặc tầng 1 có nguy cơ ngập nước không? Hệ thống điện có được bảo vệ khỏi ngập nước không?",single,"A) Cơ sở ở vùng cao, không ngập; hoặc tủ điện đặt trên cao, hệ thống điện chống ngập đúng chuẩn [Điểm: 0, Rủi ro: safe]
B) Vùng thỉnh thoảng ngập nhẹ, tủ điện đặt trên cao nhưng ổ cắm tầng trệt chưa có nắp chống nước [Điểm: 1, Rủi ro: low]
C) Vùng hay ngập, tủ điện đặt thấp dưới 1m, dây điện đi sát sàn có nguy cơ chập khi ngập [Điểm: 2, Rủi ro: high]
D) Tầng hầm có thiết bị điện, không có bơm thoát nước, đã từng bị ngập gây chập điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
57,Tác động thiên nhiên,"Trong những ngày nắng nóng cực đoan (trên 38°C), cơ sở có tăng cường biện pháp PCCC không?",single,"A) Có kế hoạch mùa nóng: tăng tần suất kiểm tra điện, hạn chế nguồn lửa, bố trí trực PCCC 24/7 [Điểm: 0, Rủi ro: safe]
B) Có nhắc nhở chung về PCCC trong mùa nóng nhưng không có văn bản kế hoạch cụ thể [Điểm: 1, Rủi ro: low]
C) Không tăng cường biện pháp gì, mùa nóng vẫn vận hành như bình thường [Điểm: 2, Rủi ro: high]
D) Mùa nóng thiết bị chạy quá tải do ĐHKK, không tăng cường PCCC, không kiểm tra điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
58,Tác động thiên nhiên,"Cơ sở có dấu hiệu chuột, kiến hoặc côn trùng xâm nhập vào tủ điện, hộp nối dây không?",single,"A) Tủ điện kín, không có dấu hiệu côn trùng xâm nhập, có biện pháp chống chuột định kỳ [Điểm: 0, Rủi ro: safe]
B) Thỉnh thoảng thấy côn trùng nhỏ gần tủ điện nhưng chưa phát hiện xâm nhập bên trong [Điểm: 1, Rủi ro: low]
C) Đã phát hiện chuột gặm dây điện hoặc kiến lửa làm tổ trong hộp nối, chưa xử lý triệt để [Điểm: 2, Rủi ro: high]
D) Chuột thường xuyên gặm nát vỏ dây điện, đã xảy ra chập do chuột, chưa khắc phục [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Loại bỏ các mối nối tạm bằng băng keo. Sử dụng hộp nối chuyên dụng hoặc đầu nối bấm chuẩn cho tất cả các điểm nối dây.
- Nếu chọn (D): Khắc phục: Chuột thường xuyên gặm nát vỏ dây điện, đã xảy ra chập do chuột, chưa khắc phục. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
59,Tác động thiên nhiên,"Các thiết bị điện ngoài trời (tủ điện ngoài trời, cáp điện, đèn chiếu sáng) có dấu hiệu gỉ sét, ăn mòn hoặc vỡ vỏ bảo vệ không?",single,"A) Thiết bị ngoài trời đạt cấp IP65, vỏ inox/composite, không gỉ sét, kiểm tra định kỳ [Điểm: 0, Rủi ro: safe]
B) Một số thiết bị bắt đầu gỉ sét nhẹ bên ngoài nhưng vỏ bảo vệ còn nguyên vẹn [Điểm: 1, Rủi ro: low]
C) Vỏ tủ điện ngoài trời bị thủng, nắp hộp nối dây bị vỡ, dây cáp lộ lõi do gỉ mòn [Điểm: 2, Rủi ro: high]
D) Thiết bị điện ngoài trời hư hỏng nghiêm trọng, nước mưa xâm nhập vào tủ điện gây chập [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
60,Tác động thiên nhiên,"Bụi mịn từ môi trường (bụi xi măng, bụi kim loại, bụi than) có tích tụ trên thiết bị điện và hệ thống PCCC không?",single,"A) Thiết bị điện và hệ thống PCCC được vệ sinh định kỳ, không tích tụ bụi đáng kể [Điểm: 0, Rủi ro: safe]
B) Có lớp bụi mỏng trên một số thiết bị nhưng vệ sinh hàng tháng [Điểm: 1, Rủi ro: low]
C) Bụi tích dày trên tủ điện, ổ cắm, đầu báo khói, ảnh hưởng tản nhiệt và phát hiện cháy [Điểm: 2, Rủi ro: high]
D) Bụi dẫn điện (bụi kim loại, than) phủ dày trên thanh dẫn điện, có nguy cơ chập và nổ bụi [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'.
- Nếu chọn (D): Khắc phục: Bụi dẫn điện (bụi kim loại, than) phủ dày trên thanh dẫn điện, có nguy cơ chập và nổ bụi. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
61,Tự cháy,"Cơ sở có bảo quản các vật liệu có khả năng tự cháy (dầu lanh, than non, vải dính dầu, phân bón có nitrat) không?",single,"A) Không có vật liệu tự cháy; hoặc bảo quản đúng cách: thông thoáng, kiểm tra nhiệt độ định kỳ [Điểm: 0, Rủi ro: safe]
B) Có một lượng nhỏ, bảo quản trong kho riêng thông gió nhưng chưa kiểm tra nhiệt độ [Điểm: 1, Rủi ro: low]
C) Có lưu trữ vật liệu tự cháy chất đống lớn, kho thông gió kém, chưa theo dõi nhiệt [Điểm: 2, Rủi ro: high]
D) Vật liệu tự cháy số lượng lớn chất đống trong kho kín, không thông gió, không giám sát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày.
- Nếu chọn (D): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày."
62,Tự cháy,"Tại cơ sở có phát sinh bụi hữu cơ (bụi gỗ, bụi ngũ cốc, bụi đường, bụi nhôm) trong quá trình sản xuất không?",single,"A) Không phát sinh bụi hữu cơ; hoặc có hệ thống hút bụi công nghiệp, vệ sinh định kỳ [Điểm: 0, Rủi ro: safe]
B) Có bụi nhưng vệ sinh hàng ngày, không tích tụ dày trên máy móc và sàn [Điểm: 1, Rủi ro: low]
C) Bụi tích tụ dày trên máy, tường, trần, không có hệ thống hút bụi [Điểm: 2, Rủi ro: high]
D) Bụi lơ lửng dày đặc tạo mây bụi khi sản xuất, có nguy cơ nổ bụi, không thông gió [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Bụi tích tụ dày trên máy, tường, trần, không có hệ thống hút bụi. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Bụi lơ lửng dày đặc tạo mây bụi khi sản xuất, có nguy cơ nổ bụi, không thông gió. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
63,Tự cháy,"Cơ sở có bảo quản phân bón Amoni Nitrat (AN), oxy già (H₂O₂), hoặc các hóa chất tự phản ứng/tự oxy hóa không?",single,"A) Không có hóa chất tự phản ứng; hoặc bảo quản đúng SDS, kho riêng, tách biệt chất không tương thích [Điểm: 0, Rủi ro: safe]
B) Có lượng nhỏ, bảo quản trong tủ chuyên dụng nhưng chưa tách riêng theo tính tương thích [Điểm: 1, Rủi ro: low]
C) Hóa chất oxy hóa để chung với vật liệu dễ cháy, không có kho riêng biệt [Điểm: 2, Rủi ro: high]
D) Khối lượng lớn AN hoặc chất oxy hóa mạnh bảo quản không đúng, gần nguồn nhiệt, không giám sát [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hóa chất oxy hóa để chung với vật liệu dễ cháy, không có kho riêng biệt. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Khối lượng lớn AN hoặc chất oxy hóa mạnh bảo quản không đúng, gần nguồn nhiệt, không giám sát. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
64,Tự cháy,"Bột màu, pigment hoặc sơn bột công nghiệp được bảo quản và xử lý như thế nào tại cơ sở?",single,"A) Không có sơn bột/pigment; hoặc bảo quản trong khu vực chuyên dụng, hút bụi tốt, thiết bị Ex [Điểm: 0, Rủi ro: safe]
B) Có sơn bột, bảo quản trong thùng kín, khu vực thông gió nhưng chưa có thiết bị phòng nổ [Điểm: 1, Rủi ro: low]
C) Sơn bột rơi vãi trên sàn, tích tụ trên máy, không vệ sinh thường xuyên [Điểm: 2, Rủi ro: high]
D) Bụi sơn bột phát tán dày đặc, không hút bụi, thiết bị điện thường phát tia lửa [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Sơn bột rơi vãi trên sàn, tích tụ trên máy, không vệ sinh thường xuyên. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Bụi sơn bột phát tán dày đặc, không hút bụi, thiết bị điện thường phát tia lửa. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
65,Tự cháy,"Cơ sở có bảo quản than củi, than đá, pellet gỗ hoặc biomass không? Đống than có được kiểm soát nhiệt độ không?",single,"A) Không có than/biomass; hoặc bảo quản đống nhỏ nơi thoáng, có đo nhiệt độ bên trong đống [Điểm: 0, Rủi ro: safe]
B) Có bảo quản, đống vừa phải, kho thông thoáng nhưng chưa đo nhiệt bên trong đống [Điểm: 1, Rủi ro: low]
C) Chất đống lớn trong kho kín, không kiểm tra nhiệt, chưa phát hiện nóng bất thường [Điểm: 2, Rủi ro: high]
D) Đống than/biomass lớn đã tự nóng, bốc khói hoặc có mùi cháy nhưng chưa xử lý [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
66,Tự cháy,"Cơ sở có bảo quản phân hữu cơ, xác bã nông sản, hoặc chất thải hữu cơ ủ đống lớn không?",single,"A) Không có chất thải hữu cơ ủ đống; hoặc ủ đúng kỹ thuật, có đảo trộn, kiểm soát nhiệt độ [Điểm: 0, Rủi ro: safe]
B) Có ủ phân hữu cơ quy mô nhỏ, ngoài trời, đảo trộn không thường xuyên [Điểm: 1, Rủi ro: low]
C) Chất thải hữu cơ chất đống lớn không xử lý, trong khu vực kín, bốc mùi nóng [Điểm: 2, Rủi ro: high]
D) Đống ủ lớn tự phát nhiệt, đã bốc khói hoặc âm ỉ cháy nhưng chưa dập tắt [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày."
67,Tự cháy,"Cơ sở có sử dụng hoặc lưu trữ dầu thực vật, mỡ động vật, dầu cá số lượng lớn không?",single,"A) Không lưu trữ dầu mỡ số lượng lớn; hoặc bảo quản trong thùng kín, kho mát thông gió [Điểm: 0, Rủi ro: safe]
B) Có lưu trữ, thùng kín nơi mát nhưng giẻ lau dính dầu chưa xử lý đúng cách [Điểm: 1, Rủi ro: low]
C) Giẻ lau dính dầu thực vật chất đống, thùng dầu hở nắp trong kho nóng [Điểm: 2, Rủi ro: high]
D) Giẻ lau dính dầu ăn vứt bừa bãi gần nguồn nhiệt, đã có hiện tượng nóng hoặc bốc khói [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém).
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
68,Tự cháy,"Các thiết bị dùng pin lithium (laptop, điện thoại, xe điện, máy bay không người lái) được sạc và bảo quản như thế nào?",single,"A) Sạc tại nơi thông thoáng, dùng sạc chính hãng, không sạc qua đêm không giám sát, pin không phồng [Điểm: 0, Rủi ro: safe]
B) Sạc trong nhà, dùng sạc chính hãng, thỉnh thoảng sạc qua đêm nhưng nơi thoáng [Điểm: 1, Rủi ro: low]
C) Sạc nhiều thiết bị cùng lúc trong phòng kín, dùng sạc không chính hãng, pin một số cái phồng [Điểm: 2, Rủi ro: high]
D) Pin lithium phồng vẫn sử dụng, sạc qua đêm trong phòng ngủ kín, dùng sạc kém chất lượng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Sạc nhiều thiết bị cùng lúc trong phòng kín, dùng sạc không chính hãng, pin một số cái phồng. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Pin lithium phồng vẫn sử dụng, sạc qua đêm trong phòng ngủ kín, dùng sạc kém chất lượng. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
69,Tự cháy,"Cơ sở có bảo quản hóa chất phản ứng mạnh với nước (natri kim loại, canxi cacbua, thuốc tím) không?",single,"A) Không có hóa chất phản ứng với nước; hoặc bảo quản trong tủ chống ẩm, cách xa nguồn nước [Điểm: 0, Rủi ro: safe]
B) Có lượng nhỏ, bảo quản trong tủ kín nhưng chưa có biện pháp chống ẩm chuyên dụng [Điểm: 1, Rủi ro: low]
C) Hóa chất phản ứng với nước để gần khu vực ẩm ướt, gần ống nước hoặc bồn rửa [Điểm: 2, Rủi ro: high]
D) Hóa chất phản ứng mạnh với nước bảo quản trong kho bị dột, gần họng nước chữa cháy [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Khắc phục: Hóa chất phản ứng với nước để gần khu vực ẩm ướt, gần ống nước hoặc bồn rửa. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể.
- Nếu chọn (D): Khắc phục: Hóa chất phản ứng mạnh với nước bảo quản trong kho bị dột, gần họng nước chữa cháy. Liên hệ đơn vị chuyên môn để được tư vấn giải pháp cụ thể."
70,Tự cháy,"Rơm rạ, trấu, vỏ cà phê hoặc bã mía tại cơ sở được bảo quản và xử lý như thế nào sau mùa thu hoạch?",single,"A) Không có rơm rạ/trấu; hoặc bảo quản khô, đống nhỏ, nơi thoáng, có kiểm tra nhiệt định kỳ [Điểm: 0, Rủi ro: safe]
B) Bảo quản trong kho thoáng, đống vừa phải nhưng chưa kiểm tra nhiệt bên trong [Điểm: 1, Rủi ro: low]
C) Chất đống lớn ngoài trời không che chắn, ẩm ướt sau mưa, không kiểm soát [Điểm: 2, Rủi ro: high]
D) Đống rơm/trấu lớn đã ẩm mục tự phát nhiệt, bốc hơi nóng, gần nhà dân hoặc kho hàng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản vật liệu dễ tự cháy nơi thông thoáng, không chất đống. Kiểm tra nhiệt độ kho định kỳ hàng ngày.
- Nếu chọn (D): NGUY HIỂM: Ngắt ngay mạch điện có hiện tượng nóng/khét. Gọi thợ điện kiểm tra nguyên nhân (quá tải, chập mạch, tiếp xúc kém)."
71,Tai nạn giao thông (phương tiện cơ giới),"Khu vực đỗ xe (ô tô, xe máy) trong cơ sở có tiềm ẩn nguy cơ cháy nổ không?",single,"A) Bãi đỗ xe riêng biệt, có hệ thống báo cháy, sprinkler (nếu trong nhà), cách xa khu sản xuất/kho [Điểm: 0, Rủi ro: safe]
B) Đỗ xe trong sân chung nhưng xa kho hàng, có bình chữa cháy gần bãi xe [Điểm: 1, Rủi ro: low]
C) Xe đỗ trong tầng 1 nhà ở, gần cầu thang, gần hàng hóa dễ cháy, không có PCCC [Điểm: 2, Rủi ro: high]
D) Nhiều xe máy/ô tô đỗ trong nhà kho, tầng hầm chật, chắn lối thoát nạn, không có PCCC [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Dọn sạch lối thoát hiểm ngay. Lắp đèn EXIT phát quang và đèn chiếu sáng sự cố. Không khóa cửa thoát nạn."
72,Tai nạn giao thông (phương tiện cơ giới),"Cơ sở có nằm gần đường vận chuyển hàng hóa nguy hiểm (xe bồn xăng dầu, xe chở gas, xe hóa chất) không? Có biện pháp phòng ngừa gì?",single,"A) Không gần đường vận chuyển hàng nguy hiểm; hoặc có tường rào, dải cách ly an toàn [Điểm: 0, Rủi ro: safe]
B) Gần đường có xe bồn đi qua nhưng có hàng rào và khoảng cách ≥ 10m [Điểm: 1, Rủi ro: low]
C) Sát đường xe bồn xăng dầu thường đi, không có rào chắn hay dải cách ly [Điểm: 2, Rủi ro: high]
D) Cơ sở nằm sát ngã tư/cua gấp trên đường xe bồn, đã có tai nạn xe bồn gần đó [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
73,Tai nạn giao thông (phương tiện cơ giới),Xe cứu hỏa có thể tiếp cận nhanh và thuận tiện vào cơ sở khi xảy ra sự cố không?,single,"A) Đường vào rộng ≥ 3,5m, xe cứu hỏa vào tận nơi, có bãi quay xe, họng tiếp nước sẵn [Điểm: 0, Rủi ro: safe]
B) Đường vào đủ rộng cho xe cứu hỏa nhưng đôi khi bị xe đậu hai bên thu hẹp [Điểm: 1, Rủi ro: low]
C) Đường vào hẹp (< 3,5m), xe cứu hỏa phải đỗ ngoài đường chính, kéo vòi vào xa [Điểm: 2, Rủi ro: high]
D) Cơ sở trong ngõ hẻm sâu, xe cứu hỏa không thể tiếp cận, không có nguồn nước gần [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
74,Tai nạn giao thông (phương tiện cơ giới),"Xe cơ giới (ô tô, xe tải, xe nâng) đậu trong nhà xưởng hoặc kho có dấu hiệu rò rỉ nhiên liệu không?",single,"A) Xe không đậu trong kho/xưởng; hoặc kiểm tra rò rỉ trước khi vào, sàn sạch không vết dầu [Điểm: 0, Rủi ro: safe]
B) Xe đậu trong nhà xưởng, kiểm tra định kỳ, chưa phát hiện rò rỉ nhiên liệu [Điểm: 1, Rủi ro: low]
C) Phát hiện vết dầu loang dưới xe trong kho nhưng chưa xác định nguồn rò rỉ [Điểm: 2, Rủi ro: high]
D) Xe rò rỉ nhiên liệu rõ ràng, vẫn đậu trong kho hàng dễ cháy, mùi xăng trong nhà kho [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
75,Tai nạn giao thông (phương tiện cơ giới),"Xe nâng, xe đẩy hoặc phương tiện nội bộ có thường xuyên va chạm vào kệ hàng, tường, hoặc thiết bị không?",single,"A) Có lối đi riêng cho xe nâng, bollard bảo vệ kệ hàng và thiết bị, tài xế có chứng chỉ [Điểm: 0, Rủi ro: safe]
B) Lối đi đủ rộng, thỉnh thoảng va quẹt nhẹ kệ hàng nhưng không gây hư hại [Điểm: 1, Rủi ro: low]
C) Xe nâng hay va chạm kệ hàng làm nghiêng, đã từng đổ hàng hóa lên thiết bị điện [Điểm: 2, Rủi ro: high]
D) Xe nâng va chạm mạnh vào ống gas, đường ống dẫn hoặc tủ điện, gây hư hại nghiêm trọng [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Di chuyển vật liệu dễ cháy ra xa tủ điện ít nhất 1m. Lắp khóa và biển cảnh báo 'NGUY HIỂM - ĐIỆN CAO ÁP'."
76,Tai nạn giao thông (phương tiện cơ giới),Nhiên liệu và dầu nhớt dự trữ cho đội xe của cơ sở được bảo quản như thế nào?,single,"A) Kho nhiên liệu riêng biệt, tường chống cháy, biển cấm lửa, hệ thống chống tràn, bình chữa cháy [Điểm: 0, Rủi ro: safe]
B) Để trong khu vực riêng ngoài trời, thùng có nắp kín, xa nguồn nhiệt [Điểm: 1, Rủi ro: low]
C) Thùng dầu nhớt để trong nhà xưởng chung, gần thiết bị điện và máy móc [Điểm: 2, Rủi ro: high]
D) Xăng dầu để trong can nhựa hở, trong garage chung với nhiều xe, gần ổ cắm điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bảo quản xăng dầu trong kho riêng, xa nguồn nhiệt/điện. Dùng can chuyên dụng có nắp kín, gắn nhãn cảnh báo.
- Nếu chọn (D): Thay thế ổ cắm hỏng/méo. Không cắm chồng nhiều ổ nối dài. Dùng ổ cắm có nắp bảo vệ tại nơi ẩm ướt."
77,Tai nạn giao thông (phương tiện cơ giới),Hệ thống điện và cầu chì của phương tiện cơ giới trong đội xe có được kiểm tra bảo dưỡng định kỳ không?,single,"A) Kiểm tra hệ thống điện xe theo lịch bảo dưỡng, cầu chì đúng ampe, dây điện không hở [Điểm: 0, Rủi ro: safe]
B) Bảo dưỡng định kỳ theo km nhưng chưa kiểm tra chuyên sâu hệ thống điện [Điểm: 1, Rủi ro: low]
C) Xe cũ, hệ thống điện chưa kiểm tra lâu, cầu chì thay bằng dây đồng nghiệp dư [Điểm: 2, Rủi ro: high]
D) Hệ thống điện xe hỏng nặng, dây điện chạm chập, đã có hiện tượng khói/tia lửa từ khoang điện [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
78,Tai nạn giao thông (phương tiện cơ giới),Khu vực rửa xe và bảo dưỡng xe có tuân thủ quy định phòng cháy không?,single,"A) Không có khu rửa xe/bảo dưỡng; hoặc có, sàn chống trơn, thoát nước tốt, bình chữa cháy [Điểm: 0, Rủi ro: safe]
B) Có khu bảo dưỡng riêng, có bình chữa cháy nhưng sàn đôi khi dính dầu nhớt [Điểm: 1, Rủi ro: low]
C) Bảo dưỡng xe ngay trong kho/xưởng, sàn dính dầu, giẻ lau dầu vứt bừa bãi [Điểm: 2, Rủi ro: high]
D) Rửa xe bằng xăng/dung môi trong nhà kín, không thông gió, không bình chữa cháy [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Lập lịch bảo dưỡng theo khuyến cáo nhà sản xuất. Ghi sổ theo dõi: ngày bảo dưỡng, người thực hiện, hạng mục.
- Nếu chọn (D): Mua bổ sung bình chữa cháy ABC 4kg: 1 bình/50m². Đặt nơi dễ lấy, cao 0.8-1.5m. Kiểm tra hạn sử dụng hàng quý."
79,Tai nạn giao thông (phương tiện cơ giới),Xe bồn chở xăng dầu hoặc xe chở khí gas của cơ sở có được kiểm tra bình áp lực và van an toàn định kỳ không?,single,"A) Không có xe bồn/xe gas; hoặc có, kiểm định đúng hạn, van an toàn hoạt động, dây tiếp địa đủ [Điểm: 0, Rủi ro: safe]
B) Xe kiểm định còn hạn nhưng dây tiếp địa chống tĩnh điện chưa kiểm tra gần đây [Điểm: 1, Rủi ro: low]
C) Xe bồn quá hạn kiểm định nhưng vẫn hoạt động, van an toàn lâu chưa thử [Điểm: 2, Rủi ro: high]
D) Xe bồn cũ nát, rò rỉ xăng dầu, van an toàn hỏng, không kiểm định, vẫn vận hành [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
80,Tai nạn giao thông (phương tiện cơ giới),Khu vực đỗ xe ban đêm có được kiểm tra trước khi nhân viên rời cơ sở không?,single,"A) Có kiểm tra bãi xe cuối ngày: rò rỉ nhiên liệu, ngắt điện sạc, khóa cổng, camera giám sát [Điểm: 0, Rủi ro: safe]
B) Bảo vệ tuần tra bãi xe nhưng không có checklist kiểm tra cụ thể về PCCC [Điểm: 1, Rủi ro: low]
C) Không kiểm tra bãi xe ban đêm, xe đỗ qua đêm không ai giám sát [Điểm: 2, Rủi ro: high]
D) Bãi xe trong tầng hầm/kho, không camera, không tuần tra, không PCCC, khóa cửa kín [Điểm: 3, Rủi ro: critical]","- Nếu chọn (C): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm.
- Nếu chọn (D): Bố trí bãi đỗ xe riêng biệt, xa khu sản xuất/kho hàng. Không để xe trong lối thoát hiểm."
